user_id,signup_date,signup_channel,age,country,experiment_group,funnel_stage
1,2025-08-27,Organic Search,32,United States,B,Feature Adoption
2,2026-04-06,Organic Search,19,Canada,B,Feature Adoption
3,2025-07-14,Google Ads,62,Germany,A,Feature Adoption
4,2026-04-28,Organic Search,28,India,A,Feature Adoption
5,2025-09-18,Organic Search,24,France,B,Feature Adoption
6,2025-12-24,LinkedIn,64,Australia,B,Feature Adoption
7,2026-01-10,Organic Search,58,United States,A,Renewal
8,2026-04-22,Organic Search,60,United States,B,Feature Adoption
9,2025-08-10,Referral,42,India,B,Subscription
10,2026-01-03,Organic Search,60,United States,B,Renewal
11,2025-08-06,LinkedIn,64,United States,B,Subscription
12,2025-11-16,Email Campaign,53,United Kingdom,B,Feature Adoption
13,2025-07-29,Organic Search,38,United States,B,First Login
14,2026-04-17,Referral,59,United States,B,Renewal
15,2026-02-20,Organic Search,65,United States,A,Feature Adoption
16,2026-04-26,Google Ads,41,United Kingdom,B,Renewal
17,2026-03-18,Google Ads,25,France,B,Feature Adoption
18,2026-02-02,Google Ads,56,United States,A,Feature Adoption
19,2026-04-10,Referral,64,United States,B,Renewal
20,2025-11-14,LinkedIn,36,United States,B,Subscription
21,2025-11-12,Email Campaign,50,France,A,Renewal
22,2025-11-30,Referral,30,United Kingdom,B,Renewal
23,2026-04-03,Email Campaign,18,India,A,Feature Adoption
24,2025-08-27,Email Campaign,37,India,B,Feature Adoption
25,2026-04-17,Email Campaign,49,United States,A,Renewal
26,2026-03-30,LinkedIn,48,United States,A,Feature Adoption
27,2026-03-28,Referral,31,Canada,A,Subscription
28,2025-10-11,LinkedIn,60,United States,A,Feature Adoption
29,2026-03-22,Google Ads,22,United States,B,Subscription
30,2025-10-26,Google Ads,63,United States,A,Feature Adoption
31,2025-07-17,Referral,33,United States,B,Subscription
32,2026-04-03,Organic Search,54,India,A,Feature Adoption
33,2026-02-28,Referral,24,United States,A,Feature Adoption
34,2026-01-27,Google Ads,61,Germany,A,Feature Adoption
35,2025-08-01,Google Ads,24,United States,B,Feature Adoption
36,2026-02-15,Organic Search,47,United States,B,Renewal
37,2026-02-12,Referral,24,India,B,Renewal
38,2025-07-08,Email Campaign,33,India,B,Subscription
39,2025-10-18,Referral,28,India,B,Renewal
40,2025-11-13,Email Campaign,36,France,B,Renewal
41,2026-04-11,LinkedIn,30,Canada,B,Renewal
42,2026-04-23,LinkedIn,38,United States,B,Subscription
43,2026-03-15,Referral,21,United Kingdom,A,Email Verification
44,2025-10-04,Organic Search,33,United States,B,Renewal
45,2026-04-18,Organic Search,57,United Kingdom,B,Subscription
46,2026-04-16,Google Ads,31,India,A,Feature Adoption
47,2025-11-13,Google Ads,37,Germany,B,Renewal
48,2025-08-07,Organic Search,54,United Kingdom,A,Email Verification
49,2025-10-18,Google Ads,40,United States,A,Renewal
50,2026-01-06,Organic Search,52,Canada,A,Feature Adoption
51,2026-03-28,Organic Search,37,Australia,A,First Login
52,2025-09-07,Organic Search,65,India,A,Feature Adoption
53,2025-10-16,LinkedIn,58,United States,A,Feature Adoption
54,2025-11-06,Referral,23,Australia,A,Subscription
55,2025-07-23,Organic Search,58,France,A,Feature Adoption
56,2026-02-12,Google Ads,18,Canada,B,Renewal
57,2025-09-15,Google Ads,55,Australia,A,Feature Adoption
58,2025-07-22,Organic Search,20,India,A,Feature Adoption
59,2025-11-05,LinkedIn,53,United States,A,Feature Adoption
60,2025-09-18,Email Campaign,28,United States,A,Subscription
61,2026-01-28,Organic Search,39,Germany,A,Feature Adoption
62,2025-11-05,Organic Search,24,France,B,Email Verification
63,2026-02-26,Organic Search,47,Australia,B,Renewal
64,2025-10-25,Organic Search,43,Germany,B,Renewal
65,2025-11-20,Google Ads,61,United Kingdom,A,Feature Adoption
66,2025-07-15,Organic Search,29,India,A,Renewal
67,2025-07-20,Organic Search,64,Canada,A,Feature Adoption
68,2026-03-19,Organic Search,30,India,B,Subscription
69,2025-07-01,Google Ads,61,Australia,A,Subscription
70,2025-10-09,Google Ads,60,United States,A,Feature Adoption
71,2025-09-02,LinkedIn,37,United States,A,Feature Adoption
72,2025-11-29,Google Ads,60,United States,A,Subscription
73,2025-09-28,LinkedIn,53,United States,A,Feature Adoption
74,2025-10-16,Google Ads,59,United Kingdom,B,Subscription
75,2025-10-18,Google Ads,65,France,B,Feature Adoption
76,2026-03-21,LinkedIn,23,United Kingdom,A,Subscription
77,2025-12-06,Organic Search,19,United States,B,Renewal
78,2025-08-07,Google Ads,54,India,B,Subscription
79,2026-03-11,Google Ads,62,United States,B,Renewal
80,2025-08-24,LinkedIn,62,United States,A,Email Verification
81,2025-11-05,Referral,26,United States,A,Subscription
82,2026-04-13,Google Ads,46,India,A,Subscription
83,2026-03-16,Google Ads,46,India,A,Subscription
84,2026-03-01,Google Ads,58,France,B,Renewal
85,2026-03-06,LinkedIn,22,United States,A,Feature Adoption
86,2025-12-19,Organic Search,26,United Kingdom,B,Feature Adoption
87,2025-09-17,LinkedIn,44,United States,B,Subscription
88,2025-08-01,Organic Search,55,Canada,A,Signup
89,2026-04-21,Google Ads,40,United States,B,Feature Adoption
90,2026-01-31,Google Ads,56,Germany,A,Feature Adoption
91,2025-11-17,Google Ads,39,United States,A,Subscription
92,2025-09-23,Referral,57,India,A,Renewal
93,2026-04-30,Google Ads,59,United States,B,Renewal
94,2025-10-02,Organic Search,31,United States,B,Feature Adoption
95,2026-01-11,Organic Search,44,India,B,Feature Adoption
96,2025-07-10,LinkedIn,40,United States,B,First Login
97,2025-07-21,LinkedIn,30,India,A,Feature Adoption
98,2025-10-31,Organic Search,54,Germany,A,Feature Adoption
99,2025-11-09,LinkedIn,56,United States,A,Subscription
100,2025-09-22,Email Campaign,19,United States,A,Feature Adoption
101,2026-01-09,Google Ads,22,Germany,A,Subscription
102,2025-11-02,Organic Search,61,France,A,First Login
103,2026-04-16,LinkedIn,45,United States,A,Email Verification
104,2025-12-22,Organic Search,49,Canada,B,Renewal
105,2026-02-21,LinkedIn,64,Canada,A,Subscription
106,2026-04-02,LinkedIn,64,Canada,A,Feature Adoption
107,2025-11-03,Referral,46,United States,B,Subscription
108,2026-01-11,Organic Search,38,Canada,B,Feature Adoption
109,2025-11-10,Organic Search,62,India,A,Feature Adoption
