Feature,Coefficient,Absolute_Coefficient
total_sessions,-3.1633873434951623,3.1633873434951623
plan_type_Free,3.1115880487764094,3.1115880487764094
plan_type_Pro,-2.3178809314574735,2.3178809314574735
total_feature_time,-1.555377778717355,1.555377778717355
ticket_count,0.9577272161090361,0.9577272161090361
total_spend,-0.9129670842443124,0.9129670842443124
plan_type_Enterprise,-0.8628612539847164,0.8628612539847164
feat_reports_clicks,-0.7843851745737392,0.7843851745737392
signup_channel_Referral,0.7801675115866544,0.7801675115866544
recency,0.7540845719877152,0.7540845719877152
avg_feature_time,0.5362736210733912,0.5362736210733912
avg_satisfaction,-0.5089246389251286,0.5089246389251286
failed_payments,-0.463408588232781,0.463408588232781
experiment_group_A,-0.41587752688613566,0.41587752688613566
feat_export_clicks,-0.37794485408942974,0.37794485408942974
country_Canada,-0.3525629334103478,0.3525629334103478
experiment_group_B,0.34672339022035753,0.34672339022035753
avg_session_duration,0.32141952017961917,0.32141952017961917
signup_channel_LinkedIn,-0.31641761978505456,0.31641761978505456
country_Australia,0.2999390062168516,0.2999390062168516
signup_channel_Google Ads,-0.2996135652802461,0.2996135652802461
feat_dashboard_clicks,-0.2345091376377581,0.2345091376377581
country_Germany,-0.19759248487105466,0.19759248487105466
feat_settings_clicks,-0.15517336407655338,0.15517336407655338
country_France,0.1301263824107809,0.1301263824107809
feat_search_clicks,0.1190505800844937,0.1190505800844937
signup_channel_Organic Search,-0.11710666473207404,0.11710666473207404
signup_channel_Email Campaign,-0.11618379845505794,0.11618379845505794
feat_integrations_clicks,0.11335495767124441,0.11335495767124441
avg_resolution_time,0.11272606705859621,0.11272606705859621
country_United Kingdom,-0.0762435660071025,0.0762435660071025
country_India,0.0645382887970357,0.0645382887970357
age,-0.06364740639969824,0.06364740639969824
country_United States,0.0626411701980586,0.0626411701980586
refunded_payments,0.0,0.0
